pervote_chanc,pervote_partner,topic,salience_chanc,salience_partner,salience_gov,salience_seat,salience_perc,salience_diff,lp,next_election,election,election_date,start_date,total_seats,maj_size,party_chanc,party_partner,seats_chanc,seats_partner,rile_chanc,rile_partner,left_right_chanc,left_right_partner,ideo_chanc,ideo_partner,ideo_gov,left_right_gov,left_right_seat,left_right_perc,rile_diff,bundesratmaj,time,gov,n_laws,europe,mip_share,account_balance_perc_delta,account_balance_perc
38.521,8.564,17,0.0586684245220831,0.0236275191104934,0.0411479718162882,5.237022256901961,0.0522950505400324,0.0350409054115897,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,6,0.40025740025740025,0,1.0096603452189137,3.4177223431914974
38.521,8.564,18,0.015161502966381,0.00833912439193885,0.0117503136791599,1.3935258451366899,0.013920622641192,0.00682237857444217,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,21,0.18438015323443577,0,1.0096603452189137,3.4177223431914974
38.521,8.564,19,0.0797626895187871,0.120917303683113,0.10033999660095,8.71597606921137,0.0872480482466896,0.0411546141643262,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,17,0.4338994661806713,2.4629608108108108,1.0096603452189137,3.4177223431914974
38.521,8.564,2,0.0764667106130521,0.143849895760945,0.110158303186999,8.857806742067991,0.0887226222113648,0.067383185147893,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,10,0.30045669176103956,6.387068108108108,1.0096603452189137,3.4177223431914974
38.521,8.564,2420,0.0533948582729071,0.0264072272411397,0.0399010427570234,4.85441402770012,0.0484862446559153,0.0269876310317674,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,38,0.1887454022183341,1.9965005405405405,1.0096603452189137,3.4177223431914974
38.521,8.564,25,0.00659195781147001,0.00833912439193885,0.00746554110170443,0.6905991020377801,0.00690973915574388,0.00174716658046884,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,4,0,0.1460181081081081,1.0096603452189137,3.4177223431914974
38.521,8.564,3,0.0487804878048781,0.0625434329395413,0.0556619603722097,5.12542197735267,0.0512837449384292,0.0137629451346633,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,17,0.353989703989704,2.0413967567567566,1.0096603452189137,3.4177223431914974
38.521,8.564,4,0.015820698747528,0.0382209867963864,0.0270208427719572,1.9846894311865302,0.0198949488664708,0.0224002880488584,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,21,0.6719402329158427,0.029327837837837836,1.0096603452189137,3.4177223431914974
38.521,8.564,5,0.110744891232696,0.0618485059068798,0.0862966985697879,10.195632524276201,0.101851429537246,0.0488963853258163,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,17,0.25759110937838053,16.25329864864865,1.0096603452189137,3.4177223431914974
38.521,8.564,6,0.0889914304548451,0.0778318276580959,0.0834116290564705,8.69856194946451,0.0869616791890203,0.0111596027967492,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,8,0.021235521235521235,0.8653635135135135,1.0096603452189137,3.4177223431914974
38.521,8.564,721,0.023071852340145,0.101459346768589,0.0622655995543672,3.71611078746693,0.0373292698252294,0.0783874944284443,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,22,0.5574598553321958,0.14401540540540542,1.0096603452189137,3.4177223431914974
38.521,8.564,8,0.015820698747528,0.0375260597637248,0.0266733792556264,1.9721989126256199,0.0197685528782004,0.0217053610161968,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,8,0.544356120826709,0.07164378378378378,1.0096603452189137,3.4177223431914974
40.929,6.696,1,0.154518950437318,0.106288751107174,0.130403850772246,14.794845951408101,0.147737860364569,0.0482301993301433,14,2002-09-22,1998,1998-09-27,1998-10-27,669,345,SPD,Grüne,298,47,-1.603,-16.256,3.6451,2.9308,-1,-1,SPD-Green,3.28795,13.0211425531915,3.54467054488189,14.653,0,5,gov_5,63,0.38786507705190304,66.36501787234043,0.5646419712649011,-0.5098806047209902
40.929,6.696,10,0.00777453838678328,0.0367581930912312,0.0222663657390072,1.17230362740559,0.0118495945946779,0.0289836547044479,14,2002-09-22,1998,1998-09-27,1998-10-27,669,345,SPD,Grüne,298,47,-1.603,-16.256,3.6451,2.9308,-1,-1,SPD-Green,3.28795,13.0211425531915,3.54467054488189,14.653,0,5,gov_5,47,0.19754969948748868,0.1502668085106383,0.5646419712649011,-0.5098806047209902
40.929,6.696,12,0.0923226433430515,0.0695305580159433,0.0809266006794974,8.921763461732949,0.0891181120391078,0.0227920853271082,14,2002-09-22,1998,1998-09-27,1998-10-27,669,345,SPD,Grüne,298,47,-1.603,-16.256,3.6451,2.9308,-1,-1,SPD-Green,3.28795,13.0211425531915,3.54467054488189,14.653,0,5,gov_5,71,0.3903629274602529,2.9774129787234043,0.5646419712649011,-0.5098806047209902
40.929,6.696,13,0.11175898931001,0.074844995571302,0.0933019924406559,10.6730126394881,0.106568939922621,0.0369139937387077,14,2002-09-22,1998,1998-09-27,1998-10-27,669,345,SPD,Grüne,298,47,-1.603,-16.256,3.6451,2.9308,-1,-1,SPD-Green,3.28795,13.0211425531915,3.54467054488189,14.653,0,5,gov_5,32,0.10072002445326568,3.1226402127659574,0.5646419712649011,-0.5098806047209902
40.929,6.696,14,0.0369290573372206,0.0327723649247121,0.0348507111309664,3.63627832984151,0.0363446329299942,0.00415669241250847,14,2002-09-22,1998,1998-09-27,1998-10-27,669,345,SPD,Grüne,298,47,-1.603,-16.256,3.6451,2.9308,-1,-1,SPD-Green,3.28795,13.0211425531915,3.54467054488189,14.653,0,5,gov_5,7,0.019250253292806482,0.07178085106382978,0.5646419712649011,-0.5098806047209902
